36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
36.50,31.855
36.30,31.583
36.60,30.052
37.60,31.875
37.00,32.048
36.70,31.992
36.10,29.238
36.90,31.660
36.90,32.852
36.00,32.329
37.10,29.438
36.80,30.140
36.30,29.988
36.10,31.579
35.90,29.858
